date,title,article,url
" Minggu, 10 Mar 2024 11:21 ",Laba Pendatang Ajaib di Indeks LQ45 Ini Anjlok 26 Persen di Tahun 2023,"
                            Pasardana.id - PT Mitra Pack Tbk (IDX: PTMP) membukukan laba bersih tahun berjalan sebesar Rp8,405 miliar pada tahun 2023, atau turun 26,3 persen dibanding tahun 2022 yang mencapai Rp11,479  miliar.
Dampaknya, laba per saham melorot ke level Rp3,18 per lembar pada akhir tahun 2023. Sedangkan di akhir tahun 2022 berada di level Rp12,65 per helai.
Padahal, Direktur Utama PTMP, Ardi Kusuma melaporkan, penjualan bersih sebesar Rp152,99 miliar sepanjang tahun 2023. Hasil itu tumbuh 11,76 persen dibanding tahun 2022 yang tercatat sebesar Rp136,03 miliar.  
Penopangnya, penjualan suku cadang naik 20,3 persen secara tahunan menjadi Rp130,74 miliar pada tahun 2023. Tapi penjualan mesin turun 28,2 persen secara tahunan yang tersisa Rp19,517 miliar.
Walau beban pokok penjualan membengkak 9.6 persen secara tahunan menjadi Rp102,33 miliar pada tahun 2023. Tapi laba kotor tetap tumbuh 20,1 persen secara tahunan menjadi Rp50,651 miliar. 
Sayangnya, total beban usaha melambung 46,8 persen secara tahunan menjadi Rp37,318 miliar pada tahun 2023.
Salah satu pos pemicunya, beban umum dan administrasi yang melonjak 28,6 persen secara tahunan menjadi Rp30,997 miliar.
Akibatnya, laba usaha emiten yang secara mengejutkan masuk indeks LQ45 periode Februari- Juli 2024 ini turun 20,1 persen secara tahunan menjadi Rp13,332 miliar pada akhir tahun 2023.
Data tersebut tersaji dalam laporan keuangan tahun 2023 telah audit PTMP yang diunggah pada laman Bursa Efek Indonesia (BEI), Sabtu (9/3/2024).
Sementara itu, jumlah kewajiban bertambah 56,8 persen secara tahunan menjadi Rp86,191 miliar pada tahun 2023.
Pada sisi lain, total ekuitas melonjak 144,3 persen secara tahunan menjadi Rp170,86 miliar pada akhir tahun 2023.
                        ",https://pasardana.id/news/2024/3/10/laba-pendatang-ajaib-di-indeks-lq45-ini-anjlok-26-persen-di-tahun-2023/
" Jumat, 08 Mar 2024 16:39 ","Ditutup ke Level 7.381, IHSG Akhir Pekan Menguat 0,11 Persen","
                            Pasardana.id - Indeks Harga Saham Gabungan (IHSG) pada penutupan perdagangan sore akhir pekan ini, Jumat  (8/3/2024) berlanjut menguat ke zona hijau dengan ditutup naik 0,11% atau meningkat 7,943 basis point ke level 7.381,907.
IHSG bergerak variatif dari batas bawah di level 7.373 hingga batas atas pada level 7.416 setelah dibuka pada level 7.373.
IDXENERGY turun -0,42%, IDXBASIC -0,58%, IDXINDUST naik 0,13%, IDXCYCLIC -0,56%, IDXNONCYC naik 0,28%, IDXHEALTH -0,65%, IDXFINANCE naik 0,62%, IDXPROPERT -0,33%, IDXTECHNO -0,07%, IDXINFRA naik 0,10%, dan IDXTRANS naik 0,14%.
Saham-saham yang tergolong top gainer antara lain; MAYA Naik 54 point atau menguat 23,47% ke level 284. SHID menguat 23,20% atau naik 275 point ke level 1.460. MSKY Naik 16 point atau menguat 21,91% ke level 89. TINS naik 125 point atau menguat 20,66% ke level 730. BAIK Naik 18 point atau menguat 19,56% ke level 110.
Saham-saham yang tergolong top losser antara lain; MPIX turun -36 point atau melemah -27,06% ke level 97. HADE melemah -25,00% atau koreksi -1 point ke level 3. DADA terkoreksi -1 point atau melemah -14,28% ke level 6. TOSK turun -14 point atau melemah -12,50% ke level 98. REAL melemah -1 point atau turun -12,50% ke level 7.
Di sisi lain, Indeks LQ45 tercatat menguat 0,38% ke level 1.000,350. Sedangkan, JII turun -0,21% ke level 521,782.
Selanjutnya, IDX30 ditutup naik 0,44% ke level 508,409. Sementara IDX80 tercatat menguat 0,18% ke level 134,557.
                        ",https://pasardana.id/news/2024/3/8/ditutup-ke-level-7381-ihsg-akhir-pekan-menguat-0-11-persen/
" Jumat, 08 Mar 2024 12:18 ","IHSG Sesi I Menguat 0,33 Persen ke Level 7.398","
                            Pasardana.id - Pada penutupan perdagangan sesi 1 di Bursa Efek Indonesia (BEI), Jumat (8/3/2024) siang ini, Indeks Harga Saham Gabungan (IHSG) ditutup menguat 0,33% atau naik 24,040 basis point ke level 7.398,004.
IHSG bergerak variatif dari batas bawah di level 7.373 hingga batas atas pada level 7.416 setelah dibuka pada level 7.373 pagi ini.
Sebanyak 239 saham menguat, 257 saham melemah, dan sisanya stagnan. Adapun saham BBCA, BMRI, dan BBRI menjadi tiga saham dengan jumlah nilai transaksi terbesar.
IDXENERGY turun -0,25%, IDXBASIC -0,13%, IDXINDUST naik 0,20%, IDXCYCLIC -0,13%, IDXNONCYC naik 0,15%, IDXHEALTH -0,19%, IDXFINANCE naik 0,49%, IDXPROPERT -0,16%, IDXTECHNO -0,23%, IDXINFRA naik 0,72%, dan IDXTRANS naik 0,73%.
Di sisi lain, Indeks LQ45 tercatat naik 0,53% menjadi 1.001,852. Sedangkan indeks Jakarta Islamic Index (JII) menguat 0,14% ke 523,616.
Sementara Indeks IDX30 menguat 0,59% ke 509,189. Sedangkan index MNC36 terpantau naik 0,54% ke level 384,087.
                        ",https://pasardana.id/news/2024/3/8/ihsg-sesi-i-menguat-0-33-persen-ke-level-7398/
" Kamis, 07 Mar 2024 16:35 ","Ditutup ke Level 7.373, IHSG Kamis Menguat 0,60 Persen","
                            Pasardana.id - Indeks Harga Saham Gabungan (IHSG) pada penutupan perdagangan sore ini, Kamis (7/3/2024) kembali menguat ke zona hijau dengan ditutup naik 0,60% atau meningkat 44,163 basis point ke level 7.373,964.
IHSG bergerak variatif dari batas bawah di level 7.329 hingga batas atas pada level 7.386 setelah dibuka pada level 7.329.
IDXENERGY naik 0,92%, IDXBASIC naik 2,19%, IDXINDUST -0,35%, IDXCYCLIC -0,33%, IDXNONCYC naik 0,17%, IDXHEALTH naik 0,20%, IDXFINANCE naik 0,25%, IDXPROPERT naik 0,08%, IDXTECHNO -2,57%, IDXINFRA naik 0,78%, dan IDXTRANS naik 0,55%.
Saham-saham yang tergolong top gainer antara lain; HADE Naik 1 point atau menguat 33,33% ke level 4. MIRA menguat 16,66% atau naik 1 point ke level 7. EPAC Naik 1 point atau menguat 14,28% ke level 8. SURI naik 42 point atau menguat 14,09% ke level 340. DGNS Naik 40 point atau menguat 13,98% ke level 326.
Saham-saham yang tergolong top losser antara lain; MPIX turun -42 point atau melemah -24,00% ke level 133. TOPS melemah -20,00% atau koreksi -1 point ke level 4. MCAS terkoreksi -330 point atau melemah -13,04% ke level 2.200. IOTF turun -32 point atau melemah -12,59% ke level 222. LPGI melemah -460 point atau turun -11,05% ke level 3.700.
Di sisi lain, Indeks LQ45 tercatat menguat 0,25% ke level 996,564. Sedangkan, JII naik 0,20% ke level 522,901.
Selanjutnya, IDX30 ditutup naik 0,20% ke level 506,193. Sementara IDX80 tercatat menguat 0,45% ke level 134,313.
                        ",https://pasardana.id/news/2024/3/7/ditutup-ke-level-7373-ihsg-kamis-menguat-0-60-persen/
" Kamis, 07 Mar 2024 12:14 ","IHSG Sesi I Menguat 0,51 Persen ke Level 7.367","
                            Pasardana.id - Pada penutupan perdagangan sesi 1 di Bursa Efek Indonesia (BEI), Kamis (7/3/2024) siang ini, Indeks Harga Saham Gabungan (IHSG) ditutup menguat 0,51% atau naik 37,502 basis point ke level 7.367,303.
IHSG bergerak variatif dari batas bawah di level 7.329 hingga batas atas pada level 7.377 setelah dibuka pada level 7.329 pagi ini.
Sebanyak 288 saham menguat, 215 saham melemah, dan sisanya stagnan. Adapun saham BBCA, GOTO, dan BBRI menjadi tiga saham dengan jumlah nilai transaksi terbesar.
IDXENERGY naik 0,86%, IDXBASIC naik 1,96%, IDXINDUST -0,22%, IDXCYCLIC -0,06%, IDXNONCYC naik 0,07%, IDXHEALTH naik 0,59%, IDXFINANCE -0,09%, IDXPROPERT naik 0,11%, IDXTECHNO -2,41%, IDXINFRA naik 1,12%, dan IDXTRANS naik 0,27%.
Di sisi lain, Indeks LQ45 tercatat naik 0,35% menjadi 997,563. Sedangkan indeks Jakarta Islamic Index (JII) menguat 0,44% ke 524,135.
Sementara Indeks IDX30 menguat 0,30% ke 506,704. Sedangkan index MNC36 terpantau naik 0,49% ke level 382,638.
                        ",https://pasardana.id/news/2024/3/7/ihsg-sesi-i-menguat-0-51-persen-ke-level-7367/
" Rabu, 06 Mar 2024 16:33 ","Ditutup ke Level 7.329, IHSG Rabu Berhasil Menguat 1,14 Persen","
                            Pasardana.id - Indeks Harga Saham Gabungan (IHSG) pada penutupan perdagangan sore ini, Rabu (6/3/2024) berhasil menguat ke zona hijau dengan ditutup naik 1,14% atau meningkat 82,341 basis point ke level 7.329,801.
IHSG bergerak variatif dari batas bawah di level 7.242 hingga batas atas pada level 7.331 setelah dibuka pada level 7.247.
IDXENERGY turun -0,11%, IDXBASIC naik 0,78%, IDXINDUST naik 0,58%, IDXCYCLIC -0,58%, IDXNONCYC naik 0,60%, IDXHEALTH naik 0,19%, IDXFINANCE naik 1,17%, IDXPROPERT naik 0,19%, IDXTECHNO naik 5,31%, IDXINFRA -0,92%, dan IDXTRANS naik 1,18%.
Saham-saham yang tergolong top gainer antara lain; LPGI Naik 830 point atau menguat 24,92% ke level 4.160. BBYB menguat 22,31% atau naik 54 point ke level 296. MPIX Naik 28 point atau menguat 19,04% ke level 175. GOTO naik 11 point atau menguat 17,46% ke level 74. DEWI Naik 11 point atau menguat 16,92% ke level 76.
Saham-saham yang tergolong top losser antara lain; HADE turun -1 point atau melemah -25,00% ke level 3. MIRA melemah -14,28% atau koreksi -1 point ke level 6. EPAC terkoreksi -1 point atau melemah -12,50% ke level 7. SHID turun -150 point atau melemah -11,90% ke level 1.110. ERAA melemah -52 point atau turun -11,15% ke level 414.
Di sisi lain, Indeks LQ45 tercatat menguat 1,45% ke level 994,056. Sedangkan, JII naik 2,65% ke level 521,861.
Selanjutnya, IDX30 ditutup naik 1,57% ke level 505,176. Sementara IDX80 tercatat menguat 1,64% ke level 133,714.
                        ",https://pasardana.id/news/2024/3/6/ditutup-ke-level-7329-ihsg-rabu-berhasil-menguat-1-14-persen/
" Rabu, 06 Mar 2024 12:16 ","IHSG Sesi I Menguat 0,40 Persen ke Level 7.276","
                            Pasardana.id - Pada penutupan perdagangan sesi 1 di Bursa Efek Indonesia (BEI), Rabu (6/3/2024) siang ini, Indeks Harga Saham Gabungan (IHSG) ditutup menguat 0,40% atau naik 28,934 basis point ke level 7.276,394.
IHSG bergerak variatif dari batas bawah di level 7.242 hingga batas atas pada level 7.288 setelah dibuka pada level 7.247 pagi ini.
Sebanyak 255 saham menguat, 256 saham melemah, dan sisanya stagnan.
Adapun saham BBCA, BMRI, dan BBRI menjadi tiga saham dengan jumlah nilai transaksi terbesar.
IDXENERGY turun -0,27%, IDXBASIC -0,14%, IDXINDUST naik 0,19%, IDXCYCLIC -0,33%, IDXNONCYC naik 0,37%, IDXHEALTH -0,05%, IDXFINANCE naik 0,34%, IDXPROPERT naik 0,90%, IDXTECHNO naik 1,84%, IDXINFRA -0,90%, dan IDXTRANS naik 0,71%.
Di sisi lain, Indeks LQ45 tercatat naik 0,68% menjadi 986,519. Sedangkan indeks Jakarta Islamic Index (JII) menguat 0,94% ke 513,187.
Sementara Indeks IDX30 menguat 0,78% ke 501,259. Sedangkan index MNC36 terpantau naik 0,33% ke level 379,064.
                        ",https://pasardana.id/news/2024/3/6/ihsg-sesi-i-menguat-0-40-persen-ke-level-7276/
" Selasa, 05 Mar 2024 16:39 ","Ditutup di Level 7.247, IHSG Selasa Melemah -0,40 Persen","
                            Pasardana.id - Indeks Harga Saham Gabungan (IHSG) pada penutupan perdagangan sore ini, Selasa (5/3/2024) berakhir melemah di zona merah setelah ditutup turun -0,40% atau terpangkas -29,289 basis point ke level 7.247,460.
IHSG bergerak variatif dari batas atas di level 7.305 hingga batas bawah pada level 7.238 setelah dibuka pada level 7.276.
IDXENERGY naik 0,72%, IDXBASIC -0,81%, IDXINDUST -0,45%, IDXCYCLIC -0,75%, IDXNONCYC -0,89%, IDXHEALTH -0,27%, IDXFINANCE -0,17%, IDXPROPERT -1,43%, IDXTECHNO -0,86%, IDXINFRA -0,64%, dan IDXTRANS -0,18%.
Saham-saham yang tergolong top gainer antara lain; HADE Naik 1 point atau menguat 33,33% ke level 4. ALII menguat 22,09% atau naik 95 point ke level 525. MPIX Naik 26 point atau menguat 21,48% ke level 147. DADA Naik 1 point atau menguat 16,66% ke level 7. PADI Naik 1 point atau menguat 14,28% ke level 8.
Saham-saham yang tergolong top losser antara lain; SMLE turun -72 point atau melemah -24,82% ke level 218. SURI melemah -18,65% atau koreksi -72 point ke level 314. POLU terkoreksi -66 point atau melemah -13,30% ke level 430. LAPD turun -1 point atau melemah -12,50% ke level 7. GOLD melemah -36 point atau turun -10,46% ke level 308.
Di sisi lain, Indeks LQ45 tercatat turun -0,21% ke level 979,884. Sedangkan, JII melemah -0,62% ke level 508,398.
Selanjutnya, IDX30 ditutup melemah -0,20% ke level 497,390. Sementara IDX80 tercatat turun -0,41% ke level 131,553.
                        ",https://pasardana.id/news/2024/3/5/ditutup-di-level-7247-ihsg-selasa-melemah-0-40-persen/
" Selasa, 05 Mar 2024 12:20 ","IHSG Sesi I Melemah -0,29 Persen di Level 7.255","
                            Pasardana.id - Pada penutupan perdagangan sesi 1 di Bursa Efek Indonesia (BEI), Selasa (5/3/2024) siang ini, Indeks Harga Saham Gabungan (IHSG) ditutup melemah -0,29% atau turun -20,921 basis point ke level 7.255,828.
IHSG bergerak variatif dari batas bawah di level 7.244 hingga batas atas pada level 7.305 setelah dibuka pada level 7.276 pagi ini.
Sebanyak 189 saham menguat, 322 saham melemah, dan sisanya stagnan.
Adapun saham BMRI, BBRI, dan BBCA menjadi tiga saham dengan jumlah nilai transaksi terbesar.
IDXENERGY naik 0,26%, IDXBASIC -0,39%, IDXINDUST -0,22%, IDXCYCLIC -0,63%, IDXNONCYC -0,74%, IDXHEALTH -0,85%, IDXFINANCE -0,38%, IDXPROPERT -1,16%, IDXTECHNO -0,28%, IDXINFRA -0,76%, dan IDXTRANS -0,76%.
Di sisi lain, Indeks LQ45 tercatat naik 0,06% menjadi 982,533. Sedangkan indeks Jakarta Islamic Index (JII) melemah -0,19% ke 510,594.
Sementara Indeks IDX30 menguat 0,08% ke 498,799. Sedangkan index MNC36 terpantau naik 0,01% ke level 378,164.
                        ",https://pasardana.id/news/2024/3/5/ihsg-sesi-i-melemah-0-29-persen-di-level-7255/
" Senin, 04 Mar 2024 17:01 ","Ditutup di Level 7.276, IHSG Senin Melemah -0,48 Persen","
                            Pasardana.id - Indeks Harga Saham Gabungan (IHSG) pada penutupan perdagangan sore awal pekan ini, Senin (4/3/2024) berakhir melemah di zona merah setelah ditutup turun -0,48% atau terpangkas -35,158 basis point di level 7.276,749.
IHSG bergerak variatif dari batas bawah di level 7.259 hingga batas atas pada level 7.328 setelah dibuka pada level 7.311.
IDXENERGY naik 0,24%, IDXBASIC -0,39%, IDXINDUST naik 0,20%, IDXCYCLIC -0,07%, IDXNONCYC -0,48%, IDXHEALTH -0,21%, IDXFINANCE -0,67%, IDXPROPERT -0,60%, IDXTECHNO -2,66%, IDXINFRA -0,72%, dan IDXTRANS -0,58%.
Saham-saham yang tergolong top gainer antara lain; NICE Naik 175 point atau menguat 23,48% ke level 920. BWPT menguat 17,30% atau naik 9 point ke level 61. ARII Naik 40 point atau menguat 15,26% ke level 302. ACRO naik 15 point atau menguat 14,42% ke level 119. JARR Naik 40 point atau menguat 14,38% ke level 318.
Saham-saham yang tergolong top losser antara lain; SAPX turun -180 point atau melemah -20,33% ke level 705. SURI melemah -15,72% atau koreksi -72 point ke level 386. ALII terkoreksi -80 point atau melemah -15,68% ke level 430. DADA turun -1 point atau melemah -14,28% ke level 6. LINK melemah -175 point atau turun -14,00% ke level 1.075.
Di sisi lain, Indeks LQ45 tercatat melemah -0,60% ke level 981,952. Sedangkan, JII turun -0,42% ke level 511,563.
Selanjutnya, IDX30 ditutup turun -0,54% ke level 498,379. Sementara IDX80 tercatat melemah -0,46% ke level 132,090.
                        ",https://pasardana.id/news/2024/3/4/ditutup-di-level-7276-ihsg-senin-melemah-0-48-persen/
